,users,date,location,star,headers,body,fit,product,size,height and weight
0,Lee M.,19 Jul 2023,United States,5,better than the original,"It's hard to believe but these are better than the already incredible original mission short. lighter but still tough, fast drying, and most significantly they haven't lost their original fit. for warm weather environments I don't think they can be beat.",N/A,Men's Lightweight Mission Short - Stone Blue,30,N/A
1,Joel P.,10 Jul 2023,United States,5,I like them so much…,I bought another pair!,N/A,Men's Lightweight Mission Short - Obsidian,30,N/A
2,Eric H.,06 Jul 2023,United States,4,"Good shorts, a little too short","Like the materials, construction, design and fit, but a bit surprised at just how short they were. I am 5' 5.5"" and would have liked at least another inch in length, 2 would be better, and it is really rare for me to not be commenting ""too long"".",N/A,Men's Lightweight Mission Short - Obsidian,28,N/A
3,Brian D.,03 Jul 2023,United States,5,Lightweight mission shorts,"These are absolutely awesome! I love the super light fabric for these hot summer rides. I already have 2 other pair of the regular ones, and about to order another lightweight pair.",N/A,Men's Lightweight Mission Short - Obsidian,30,N/A
4,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
5,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
6,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
7,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
8,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
9,Luke B.,30 Jun 2023,United States,5,Ornot product are built with quality materials and fit great!,"Recent order with handlebar bag, lightweight mission shorts, men’s belt, socks…all are of high quality construction. Had to exchange shorts for different size(my fault) and it was seamless. Will be reordering additional items soon! ",N/A,Men's Lightweight Mission Short - Slate,28,N/A
10,Alberto,29 Jun 2023,United States,5,Best shorts ever!,"This have been the best money ever spend in shorts, elegant and sporty at the same time, material is great since it dries easily.",N/A,Men's Lightweight Mission Short - Obsidian,,N/A
11,Brad,29 Jun 2023,United States,5,My Mission is to only wear the Mission shorts,"I can't say enough about these shorts! They're my go-to shorts when the weather allows, both on and off the bike. Heck, I've probably worn them more days when don't ride than when I do. Is that a bad thing?

They fit great - not baggy at all, but also not too tight for those of us with big legs. The shorts sit above the knee and the zippered wallet pocket is a nice touch. 

The only problem with these shorts is that you're going to want more than 1 pair!",N/A,Men's Lightweight Mission Short - Slate,32,N/A
12,Tinh K.,27 Jun 2023,United States,5,I’ve tossed all my other shorts. The light but tough fabric makes them work great for pretty much anything from work to playing in dirt. Might not work for people with really huge thighs.,Quick accurate delivery.,N/A,Men's Lightweight Mission Short - Obsidian,,N/A
13,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
14,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
15,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
16,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
17,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
18,JP,27 Jun 2023,United States,5,Wonderful short pants,I’ve always been straight bib shorts for all cycling disciplines but these have found their way into my MTB and gravel kit rotation. Not to mention casual. I find most mtb shorts are too long but these are perfect. I pair them with Patagonia’s liner shorts and the lengths line up great. Don’t skip the Ornot belt either. ,N/A,Men's Lightweight Mission Short - Stone Blue,30,N/A
19,Andy,27 Jun 2023,United States,5,Fantastic Shorts,Love these shorts. I have thin legs and struggle to find shorts that have an appropriately sized opening. These fit the bill and are not too short or too long either. They also have a bit of stretch making them very comfortable. The look good for a nicer event and function well with activity too. Will definitely be buying another pair!,N/A,Men's Lightweight Mission Short - Obsidian,,N/A
20,Justinio,27 Jun 2023,United States,5,My go to shorts for everything.,"Absolutely love the weight, stretch and fit of this short. These are not only my go-to for riding, but they are also an every day Summer go-to. 
Only complaint is that for some reason, the back pocket tends to blow out...",N/A,Men's Lightweight Mission Short - Obsidian,,N/A
21,Sam,27 Jun 2023,United States,5,Favorite shorts!,"I have three pairs of these shorts -- maybe that's all you need to read? I'm 6' 172lb and typically wear a 32, but I sized down to 30 for these and am pleased with the fit. The inseam is nice -- not too short and not too long -- and they are very comfortable on bike, around town, at state dinners, on an airplane, scrambling up a steep rocky hill, taking out your recycling bin early in the morning because you forgot the night before or are maybe just super efficient with your time? 

At the end of the day, you'll enjoy wearing these shorts. I love them! That's why I have three pairs. Sweet shorts!",N/A,Men's Lightweight Mission Short - Slate,,N/A
22,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
23,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
24,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
25,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
26,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
27,JP,27 Jun 2023,United States,5,Wonderful short pants,I’ve always been straight bib shorts for all cycling disciplines but these have found their way into my MTB and gravel kit rotation. Not to mention casual. I find most mtb shorts are too long but these are perfect. I pair them with Patagonia’s liner shorts and the lengths line up great. Don’t skip the Ornot belt either. ,N/A,N/A,30,N/A
28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
32,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
33,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
34,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
35,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
36,EJ,22 Jun 2023,United States,5,nice shorts,best shorts i've used so far. versatile. i use it for mtb rides and also just for casual wear.,N/A,Men's Lightweight Mission Short - Stone Blue,36,N/A
37,Scott,22 Jun 2023,United States,5,Best casual bike short ever?,I'm stockpiling them in case they ever discontinue them...,N/A,Men's Lightweight Mission Short - Obsidian,,N/A
38,Jerrick,22 Jun 2023,United States,5,Simply the best shorts,I've been on the hunt for a solid paid of shorts for a long time. Finally found the perfect ones. Good for just about anything you can think of. Well worth the price tag.,N/A,Men's Lightweight Mission Short - Obsidian,30,N/A
39,Brian K.,30 May 2023,United States,5,the best I own,"good for hikes, rides, or ......",N/A,Men's Lightweight Mission Short - Slate,32,N/A
40,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
41,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
42,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
43,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
44,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
45,Blake H.,26 May 2023,United States,5,They somehow improved on the original mission short.,Incredible. Feels like I'm wearin' nothin' at all!,N/A,Men's Lightweight Mission Short - Slate,32,N/A
46,David P.,06 May 2023,United States,5,My new favorite shorts,These shorts are awesome.,N/A,Men's Lightweight Mission Short - Stone Blue,30,N/A
47,Joe K.,25 Apr 2023,United States,5,Lightweight Mission Short - Slate,Fantastic! Super lightweight and comfortable.,N/A,Men's Lightweight Mission Short - Slate,32,N/A
48,Logan C.,24 Apr 2023,United States,5,These are the shorts,"Wow. New favorite shorts. I love them on and off the bike. My fiance may love them on me even more. They look great—perfect cut, length, stretch, color, and material.

There's no shortage of egregiously-priced athletic-ish shorts out there making grand promises, and while I haven't tried them all, these at least seem to live up to the hype. No regrets about the high price point — hope they last for many years.

Wish they came in khaki and green, too.",N/A,Men's Lightweight Mission Short - Slate,30,N/A
49,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
50,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
51,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
52,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
53,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
54,Brian K.,24 Apr 2023,United States,5,Great,"Paired with lightweight shorts!
Easy rider",N/A,Men's Lightweight Mission Short - Slate,34,N/A
55,Gary L.,27 Mar 2023,United States,5,Love the shorts,You guys are great! Had to do a size swap and you all made it easy,N/A,Men's Lightweight Mission Short - Slate,32,N/A
56,Alex B.,28 Feb 2023,United States,5,Exceptional Quality & Comfort!,"My favorite pair of shorts; on and off the bike! The design, quality, fit, and over all comfort is exceptional. Well worth every cent! I'll definitely be ordering additional pairs. Big ""kudos"" to Ornot!",N/A,Men's Lightweight Mission Short - Slate,34,N/A
57,Julio A.,17 Jan 2023,United States,5,Super comfortable,Very comfortable very nice. My go to shorts.,N/A,Lightweight Mission Short - Slate,32,N/A
58,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
59,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
60,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
61,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
62,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
63,VINCENT R.,17 Jan 2023,United States,5,Amazing!,Love this product can’t wait for the next one,N/A,Lightweight Mission Short - Slate,30,N/A
64,Lucas H.,20 Dec 2022,United States,5,:),When sold to me they were presented as the best short on the market. They didn’t lie. Perfect!,N/A,Lightweight Mission Short - Stone Blue,34,N/A
65,Nick B.,16 Dec 2022,United States,5,Loving these shorts,"Bought a pair of the (standard) Mission shorts and the lightweight Mission shorts at the same time. Figured I’d try both side-by-side and see how they compare. Having now ridden in both a couple of times and worn them around for a few days each, I can say both are really great overall but each have their own place where they shine. 
I prefer the (standard) Mission shorts for everyday wear. The material feels a little bit nicer, seems to fit slightly better and wears better (not as clingy, maybe?). 
But for riding, especially when working hard, the thinner lighter material and bit of extra stretch in the lightweight Mission shorts is a welcome change. Overall fit, quality, materials, colors and design is great on both.",N/A,Lightweight Mission Short - Stone Blue,34,N/A
66,Nick B.,16 Dec 2022,United States,5,Loving these shorts,"Bought a pair of the (standard) Mission shorts and the lightweight Mission shorts at the same time. Figured I’d try both side-by-side and see how they compare. Having now ridden in both a couple of times and worn them around for a few days each, I can say both are really great overall but each have their own place where they shine. 
I prefer the (standard) Mission shorts for everyday wear. The material feels a little bit nicer, seems to fit slightly better and wears better (not as clingy, maybe?). 
But for riding, especially when working hard, the thinner lighter material and bit of extra stretch in the lightweight Mission shorts is a welcome change. Overall fit, quality, materials, colors and design is great on both.",N/A,Lightweight Mission Short - Stone Blue,34,N/A
67,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
68,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
69,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
70,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
71,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
72,Barakuder,14 Dec 2022,,5,Still great,"I have two of the original mission shorts and wear them constantly. Honestly, I didn't realize these were the light version when I ordered them, but they are still great. They are definitely more of a ""hybrid"" short look compared to the others, but are definitely a lighter, more breathable feel. Everything else about them is same as the original, which is perfect. Stone Blue color is just so good. 
Short size: 32
My size: 6'2"", 175lbs",N/A,Lightweight Mission Short - Stone Blue,,N/A
73,Michael R.,14 Dec 2022,United States,5,"The OG, but more stretchy!","These fit exactly like the original Mission Short (which is my favorite pair of shorts I’ve ever owned), but a little lighter weight and stretchier! Couldn’t have imagined these shorts leveling up, but they do here. But ‘em!",N/A,Lightweight Mission Short - Stone Blue,32,N/A
